superficie,prix,adresse,img_link
300,3500000,"Malikounda, Sénégal",https://images.coinafrique.com/thumb_5683507_uploaded_image1_1766324283.jpg
300,5000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5683503_uploaded_image1_1766324114.jpg
500,60000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_5683491_uploaded_image1_1766323290.jpg
225,3500000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5680274_uploaded_image1_1766140155.53.jpeg
150,18000000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5709428_uploaded_image1_1767845520.jpg
1600,47000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5709264_uploaded_image1_1767827798.jpg
150,145000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5693668_uploaded_image1_1766959346.jpg
200,20000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5709137_uploaded_image1_1767822080.jpg
150,115000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5695279_uploaded_image1_1767040612.jpg
300,2500000,"Malikounda, Sénégal",https://images.coinafrique.com/thumb_5677768_uploaded_image1_1765999999.jpg
217,12000000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698493_uploaded_image1_1767278872.jpg
150,25000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5677516_uploaded_image1_1765991166.jpg
488,1000000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5677794_uploaded_image1_1766001790.jpg
580,580000000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5693309_uploaded_image1_1766937810.jpg
300,7800000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5708681_uploaded_image1_1767804124.jpg
150,9500000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5708634_uploaded_image1_1767802028.jpg
250,25000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5708138_uploaded_image1_1767785093.jpg
1650,180000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5694208_uploaded_image1_1767001756.jpg
150,15000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5689547_uploaded_image1_1766702876.jpg
600,15000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_5693734_uploaded_image1_1766960894.jpg
150,95000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5707144_uploaded_image1_1767727270.jpg
150,95000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5707092_uploaded_image1_1767725212.jpg
150,4500000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5706964_uploaded_image1_1767719574.jpg
220,135000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5706689_uploaded_image1_1767711430.jpg
8500,800000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5700786_uploaded_image1_1767427908.jpg
223,125000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5664782_uploaded_image1_1765325110.jpg
1500,900000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5700369_uploaded_image1_1767393058.jpg
165,19000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5692374_uploaded_image1_1766867994.jpg
180,20000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5692367_uploaded_image1_1766867713.jpg
150,6000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5704407_uploaded_image1_1767627235.jpg
1100,300000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_5683540_uploaded_image1_1766325999.jpg
321,240000000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5702892_uploaded_image1_1767547676.jpg
600,55000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_5660531_uploaded_image1_1765126380.jpg
612,40000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5660523_uploaded_image1_1765126173.jpg
1100,300000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_5660509_uploaded_image1_1765125825.jpg
225,2500000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5663316_uploaded_image1_1765275420.jpg
150,2500000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5700998_uploaded_image1_1767436200.jpg
150,2500000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5700471_uploaded_image1_1767400199.jpg
10000000,200,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5699508_uploaded_image1_1767354348.jpg
2300,1500000,"Mboro, Sénégal",https://images.coinafrique.com/thumb_5654697_uploaded_image1_1764799621.jpg
150,4500,"Thies, Sénégal",https://images.coinafrique.com/thumb_5698940_uploaded_image1_1767313085.jpg
150,5000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5698936_uploaded_image1_1767312826.jpg
300,12000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5698419_uploaded_image1_1767274206.jpg
150,20000000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698194_uploaded_image1_1767257895.jpg
50000,2500000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5698070_uploaded_image1_1767245094.jpg
213,215000000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5697449_uploaded_image1_1767178696.jpg
150,22000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5696349_uploaded_image1_1767107190.jpg
3150,7000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5694187_uploaded_image1_1767000792.jpg
300,3500000,"Ndiass, Sénégal",https://images.coinafrique.com/thumb_5692083_uploaded_image1_1766852686.jpg
500,24000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_5692057_uploaded_image1_1766851800.jpg
150,18000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5663383_uploaded_image1_1765277302.51.jpeg
150,6000000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5690518_uploaded_image1_1766767280.jpg
150,6000000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5690509_uploaded_image1_1766766638.jpg
225,4500000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5689162_uploaded_image1_1766676363.jpg
150,32000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5688937_uploaded_image1_1766657237.jpg
150,3000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_5653922_uploaded_image1_1764766651.jpg
150,23000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5686877_uploaded_image1_1766513187.jpg
150,19000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5686870_uploaded_image1_1766513017.jpg
300,8000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_5642384_uploaded_image1_1764165755.jpg
150,2000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_5642124_uploaded_image1_1764158497.jpg
450,12000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_5646893_uploaded_image1_1764413654.jpg
150,3500000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_5651812_uploaded_image1_1764670394.jpg
225,2000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_5684873_uploaded_image1_1766407208.jpg
